Script,Type,Message,Item
get-file-data, INFO, Processing docset MicrosoftDocs/azure-docs-pr, C:\Users\xsdocs\g\azure-docs-pr
get-file-data, INFO, Processing docset MicrosoftDocs/vsts-docs-pr, C:\Users\xsdocs\g\vsts-docs-pr
get-file-data, INFO, Processing docset MicrosoftDocs/visualstudio-docs-pr, C:\Users\xsdocs\g\visualstudio-docs-pr
get-file-data, INFO, Processing docset Microsoft/vscode-docs, C:\Users\xsdocs\g\vscode-docs
get-file-data, INFO, Processing docset Azure/azure-docs-sdk-java, C:\Users\xsdocs\g\azure-docs-sdk-java
get-file-data, INFO, Processing docset MicrosoftDocs/azure-docs-sdk-python, C:\Users\xsdocs\g\azure-docs-sdk-python
get-file-data, INFO, Processing docset MicrosoftDocs/azure-docs-sdk-node, C:\Users\xsdocs\g\azure-docs-sdk-node
get-file-data, INFO, Sorting results by filename,
get-file-data, INFO, Writing CSV results file, issues_2019-05-25-0001.csv
get-file-data, INFO, Completed first CSV results file, 
get-file-data, INFO, Invoking secondary processing to extract metadata, 
extract-metadata, INFO, Starting metadata extraction, issues_2019-05-25-0001.csv
extract-metadata, ERROR, Skipping file with encoding error. Open file and check for errors, C:\Users\xsdocs\g\azure-docs-pr\articles\security\common-security-attributes.md
extract-metadata, ERROR, Skipping file with encoding error. Open file and check for errors, C:\Users\xsdocs\g\vsts-docs-pr\docs\test\load-test\run-performance-tests-app-before-release.md
extract-metadata, INFO, Completed metadata extraction, issues_2019-05-25-0001-metadata.csv
extract-scrapings, INFO, Starting extraction, issues_2019-05-25-0001-metadata.csv
extract-scrapings, INFO, Files processed, 100
extract-scrapings, INFO, Files processed, 200
extract-scrapings, INFO, Files processed, 300
extract-scrapings, INFO, Files processed, 400
extract-scrapings, INFO, Files processed, 500
extract-scrapings, INFO, Files processed, 600
extract-scrapings, INFO, Files processed, 700
extract-scrapings, INFO, Files processed, 800
extract-scrapings, INFO, Files processed, 900
extract-scrapings, INFO, Files processed, 1000
extract-scrapings, INFO, Files processed, 1100
extract-scrapings, INFO, Files processed, 1200
extract-scrapings, INFO, Files processed, 1300
extract-scrapings, INFO, Files processed, 1400
extract-scrapings, INFO, Files processed, 1500
extract-scrapings, INFO, Files processed, 1600
extract-scrapings, INFO, Files processed, 1700
extract-scrapings, INFO, Files processed, 1800
extract-scrapings, INFO, Files processed, 1900
extract-scrapings, INFO, Files processed, 2000
extract-scrapings, INFO, Files processed, 2100
extract-scrapings, INFO, Files processed, 2200
extract-scrapings, INFO, Files processed, 2300
extract-scrapings, INFO, Files processed, 2400
extract-scrapings, INFO, Files processed, 2500
extract-scrapings, INFO, Files processed, 2600
extract-scrapings, INFO, Files processed, 2700
extract-scrapings, INFO, Files processed, 2800
extract-scrapings, INFO, Files processed, 2900
extract-scrapings, INFO, Files processed, 3000
extract-scrapings, INFO, Files processed, 3100
extract-scrapings, INFO, Files processed, 3200
extract-scrapings, INFO, Files processed, 3300
extract-scrapings, INFO, Files processed, 3400
extract-scrapings, INFO, Files processed, 3500
extract-scrapings, INFO, Files processed, 3600
extract-scrapings, INFO, Files processed, 3700
extract-scrapings, INFO, Files processed, 3800
extract-scrapings, INFO, Files processed, 3900
extract-scrapings, INFO, Files processed, 4000
extract-scrapings, INFO, Files processed, 4100
extract-scrapings, INFO, Files processed, 4200
extract-scrapings, INFO, Files processed, 4300
extract-scrapings, INFO, Files processed, 4400
extract-scrapings, INFO, Files processed, 4500
extract-scrapings, INFO, Files processed, 4600
extract-scrapings, INFO, Files processed, 4700
extract-scrapings, INFO, Files processed, 4800
extract-scrapings, INFO, Files processed, 4900
extract-scrapings, INFO, Files processed, 5000
extract-scrapings, INFO, Files processed, 5100
extract-scrapings, INFO, Files processed, 5200
extract-scrapings, INFO, Files processed, 5300
extract-scrapings, INFO, Files processed, 5400
extract-scrapings, INFO, Files processed, 5500
extract-scrapings, INFO, Files processed, 5600
extract-scrapings, INFO, Files processed, 5700
extract-scrapings, INFO, Files processed, 5800
extract-scrapings, INFO, Files processed, 5900
extract-scrapings, INFO, Files processed, 6000
extract-scrapings, INFO, Files processed, 6100
extract-scrapings, INFO, Files processed, 6200
extract-scrapings, INFO, Files processed, 6300
extract-scrapings, INFO, Files processed, 6400
extract-scrapings, INFO, Files processed, 6500
extract-scrapings, INFO, Files processed, 6600
extract-scrapings, INFO, Files processed, 6700
extract-scrapings, INFO, Files processed, 6800
extract-scrapings, INFO, Files processed, 6900
extract-scrapings, INFO, Files processed, 7000
extract-scrapings, INFO, Files processed, 7100
extract-scrapings, INFO, Files processed, 7200
extract-scrapings, INFO, Files processed, 7300
extract-scrapings, INFO, Files processed, 7400
extract-scrapings, INFO, Files processed, 7500
extract-scrapings, INFO, Files processed, 7600
extract-scrapings, INFO, Files processed, 7700
extract-scrapings, INFO, Files processed, 7800
extract-scrapings, INFO, Files processed, 7900
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/marketplace/partner-center-portal/pc-saas-fulfillment-api-v1
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/marketplace/partner-center-portal/pc-saas-fulfillment-api-v2
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/marketplace/partner-center-portal/pc-saas-fulfillment-apis
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/marketplace/partner-center-portal/pc-saas-registration
extract-scrapings, INFO, Files processed, 8000
extract-scrapings, INFO, Files processed, 8100
extract-scrapings, INFO, Files processed, 8200
extract-scrapings, INFO, Files processed, 8300
extract-scrapings, INFO, Files processed, 8400
extract-scrapings, INFO, Files processed, 8500
extract-scrapings, INFO, Files processed, 8600
extract-scrapings, INFO, Files processed, 8700
extract-scrapings, INFO, Files processed, 8800
extract-scrapings, INFO, Files processed, 8900
extract-scrapings, INFO, Files processed, 9000
extract-scrapings, INFO, Files processed, 9100
extract-scrapings, INFO, Files processed, 9200
extract-scrapings, INFO, Files processed, 9300
extract-scrapings, INFO, Files processed, 9400
extract-scrapings, INFO, Files processed, 9500
extract-scrapings, INFO, Files processed, 9600
extract-scrapings, INFO, Files processed, 9700
extract-scrapings, INFO, Files processed, 9800
extract-scrapings, INFO, Files processed, 9900
extract-scrapings, INFO, Files processed, 10000
extract-scrapings, INFO, Files processed, 10100
extract-scrapings, INFO, Files processed, 10200
extract-scrapings, INFO, Files processed, 10300
extract-scrapings, INFO, Files processed, 10400
extract-scrapings, INFO, Files processed, 10500
extract-scrapings, INFO, Files processed, 10600
extract-scrapings, INFO, Files processed, 10700
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/virtual-machine-scale-sets/virtual-machine-scale-sets-instance-protection
extract-scrapings, INFO, Files processed, 10800
extract-scrapings, INFO, Files processed, 10900
extract-scrapings, INFO, Files processed, 11000
extract-scrapings, INFO, Files processed, 11100
extract-scrapings, INFO, Files processed, 11200
extract-scrapings, INFO, Files processed, 11300
extract-scrapings, INFO, Files processed, 11400
extract-scrapings, INFO, Files processed, 11500
extract-scrapings, INFO, Files processed, 11600
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/Microsoft_Azure_Compute/Linux/Overview
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/Microsoft_Azure_Compute/Linux/overview-help
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/Microsoft_Azure_Compute/Windows/Overview
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/Microsoft_Azure_Compute/Windows/overview-help
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/Microsoft_Azure_Compute/compute-help
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/Microsoft_Azure_DocumentDB/CosmosDB/Overview
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/SqlAzureExtension/Database/Overview
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/SqlAzureExtension/Mysql/Overview
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/SqlAzureExtension/Postgresql/Overview
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/WebsitesExtension/Functions/Overview
extract-scrapings, WARNING, Request failed, http://docs.microsoft.com/azure/WebsitesExtension/WebApps/Overview
extract-scrapings, INFO, Files processed, 11700
