Docset,File,URL,Python,Term_Total,MSAuthor,Author,Manager,MSDate,MSService,MSTopic,H1,Title,Description,MinutesToRead,LinksInIntroduction,CodeBlocksPython,CodeBlocksCLI
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\app-service\containers\how-to-configure-python.md,http://docs.microsoft.com/azure/app-service/containers/how-to-configure-python,29,29,astay;cephalin;kraigb,cephalin,jeconnoc,1/29/2019,app-service-web,quickstart,"Configure your Python app for Azure App Service
",Configure Python apps - Azure App Service,This tutorial describes options for authoring and configuring Python apps for Azure App Service on Linux.,6,5,2,5
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\app-service\containers\quickstart-python.experimental.md,http://docs.microsoft.com/azure/app-service/containers/quickstart-python.experimental,26,26,cephalin,cephalin,jeconnoc,2/14/2019,app-service-web,quickstart,"Create a Python app in Azure App Service on Linux (Preview)
",Create Python app on Linux - Azure App Service | Microsoft Docs,Deploy your first Python hello world app in Azure App Service on Linux in minutes.,3,4,1,6
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\app-service\containers\quickstart-python.md,http://docs.microsoft.com/azure/app-service/containers/quickstart-python,33,33,cephalin,cephalin,jeconnoc,2/8/2019,app-service-web,quickstart,"Create a Python app in Azure App Service on Linux (Preview)
",Create Python app on Linux - Azure App Service | Microsoft Docs,Deploy your first Python hello world app in Azure App Service on Linux in minutes.,4,4,1,8
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\azure-cache-for-redis\cache-python-get-started.md,http://docs.microsoft.com/azure/azure-cache-for-redis/cache-python-get-started,31,31,yegu,yegu-ms,jhubbard,5/11/2018,cache,quickstart,"Quickstart: Use Azure Cache for Redis with Python
",Quickstart to create a Python app that uses Azure Cache for Redis | Microsoft Docs,"In this quickstart, you learn how to create an Python App that uses Azure Cache for Redis",4,0,2,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\azure-functions\functions-create-first-azure-function-azure-cli-linux.md,http://docs.microsoft.com/azure/azure-functions/functions-create-first-azure-function-azure-cli-linux,9,9,glenga,ggailey777,jeconnoc,11/28/2018,azure-functions,quickstart,"Create your first function hosted on Linux using Core Tools and the Azure CLI (preview)
",Create your first function on Linux in Azure,Learn how to create your first function hosted on Linux in Azure using the Azure Functions Core Tools and the Azure CLI.,7,6,0,6
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\azure-functions\functions-create-first-function-python.md,http://docs.microsoft.com/azure/azure-functions/functions-create-first-function-python,21,21,glenga,ggailey777,jeconnoc,8/29/2018,functions,quickstart,"Create your first Python function in Azure (preview)
",Create your first Python function in Azure,Learn how to create your first Python function in Azure using the Azure Functions Core Tools and the Azure CLI.,6,4,0,7
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\batch-ai\cntk-training-python.md,http://docs.microsoft.com/azure/batch-ai/cntk-training-python,26,26,danlep,lliimsft,jeconnoc,8/15/2018,batch-ai,quickstart,"Run a CNTK training job using the Azure Python SDK
",Train a CNTK model with Azure Batch AI - Python | Microsoft Docs,Train a Microsoft Cognitive Toolkit (CNTK) neural network with Azure Batch AI using the Python SDK,4,0,16,0
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\batch-ai\quickstart-tensorflow-training-cli.md,http://docs.microsoft.com/azure/batch-ai/quickstart-tensorflow-training-cli,3,3,danlep,dlepow,jeconnoc,9/3/2018,batch-ai,quickstart,"Quickstart: Train a deep learning model with Batch AI
",Azure Quickstart - Deep learning training - Azure CLI | Microsoft Docs,Quickstart - Quickly learn to train a TensorFlow deep learning neural network on a single GPU with Batch AI using the Azure CLI,8,2,0,2
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\batch\quick-run-python.md,http://docs.microsoft.com/azure/batch/quick-run-python,44,44,lahugh,laurenhughes,jeconnoc,11/27/2018,batch,quickstart,"Quickstart: Run your first Batch job with the Python API
",Azure Quickstart - Run Batch job - Python,Quickly run a Batch job and tasks using the Batch Python client library.,6,2,8,1
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\cognitive-services\Bing-Autosuggest\quickstarts\python.md,http://docs.microsoft.com/azure/cognitive-services/Bing-Autosuggest/quickstarts/python,14,14,aahi,aahill,nitinme,2/20/2019,cognitive-services,quickstart,"Quickstart: Suggest search queries with the Bing Autosuggest REST API and Python
","""Quickstart: Suggest search queries with the Bing Autosuggest REST API and Python""",Get information and code samples to help you quickly get started using the Bing Autosuggest API.,2,1,6,0
