Docset,File,URL,Python,Term_Total,MSAuthor,Author,Manager,MSDate,MSService,MSTopic,H1,Title,Description
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\active-directory-b2c\active-directory-b2c-apps.md,http://docs.microsoft.com/azure/active-directory-b2c/active-directory-b2c-apps,1,1,davidmu,davidmu1,daveba,01/11/2019,active-directory,conceptual,"Applications types that can be used in Active Directory B2C
",Applications types that can be used in Azure Active Directory B2C | Microsoft Docs,Learn about the types of applications you can use in the Azure Active Directory B2C.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\active-directory-b2c\active-directory-b2c-reference-usage-reporting-api.md,http://docs.microsoft.com/azure/active-directory-b2c/active-directory-b2c-reference-usage-reporting-api,1,1,davidmu,davidmu1,daveba,08/04/2017,active-directory,conceptual,"Accessing usage reports in Azure AD B2C via the reporting API
",Usage reporting API samples and definitions in Azure Active Directory B2C | Microsoft Docs,"Guide and samples on getting reports on Azure AD B2C tenant users, authentications, and multi-factor authentications."
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\active-directory\develop\about-microsoft-identity-platform.md,http://docs.microsoft.com/azure/active-directory/develop/about-microsoft-identity-platform,1,1,celested,CelesteDG,mtillman,09/24/2018,active-directory,overview,"About Microsoft identity platform
",About Microsoft identity platform | Azure,"Learn about Microsoft identity platform, an evolution of the Azure Active Directory identity service and developer platform."
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\active-directory\develop\active-directory-authentication-libraries.md,http://docs.microsoft.com/azure/active-directory/develop/active-directory-authentication-libraries,6,6,celested,CelesteDG,mtillman,12/01/2018,active-directory,article,"Azure Active Directory Authentication Libraries
",Azure Active Directory Authentication Libraries | Microsoft Docs,The Azure AD Authentication Library (ADAL) allows client application developers to easily authenticate users to cloud or on-premises Active Directory (AD) and then obtain access tokens for securing API calls.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\active-directory\develop\sample-v1-code.md,http://docs.microsoft.com/azure/active-directory/develop/sample-v1-code,4,4,celested,jmprieur,mtillman,09/24/2018,active-directory,article,"Azure Active Directory code samples (v1.0 endpoint)
",Azure Active Directory code samples | Microsoft Docs,"Provides an index of Azure Active Directory (v1.0 endpoint) code samples, organized by scenario."
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\active-directory\develop\v2-app-types.md,http://docs.microsoft.com/azure/active-directory/develop/v2-app-types,1,1,celested,CelesteDG,mtillman,12/18/2018,active-directory,article,"Application types for v2.0
",Application types for v2.0 | Azure,The types of apps and scenarios supported by the Azure Active Directory v2.0 endpoint.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\active-directory\managed-identities-azure-resources\how-to-use-vm-sdk.md,http://docs.microsoft.com/azure/active-directory/managed-identities-azure-resources/how-to-use-vm-sdk,2,2,priyamo,priyamohanram,daveba,12/01/2017,active-directory,conceptual,"How to use managed identities for Azure resources on an Azure VM with Azure SDKs 
",How to use managed identities for Azure resources on an Azure VM with Azure SDKs,Code samples for using Azure SDKs with an Azure VM that has managed identities for Azure resources.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\active-directory\managed-identities-azure-resources\how-to-use-vm-token.md,http://docs.microsoft.com/azure/active-directory/managed-identities-azure-resources/how-to-use-vm-token,1,1,priyamo,priyamohanram,daveba,12/01/2017,active-directory,conceptual,"How to use managed identities for Azure resources on an Azure VM to acquire an access token 
",How to use managed identities for Azure resources on a virtual machine to acquire an access token,Step by step instructions and examples for using managed identities for Azure resources on a virtual machines to acquire an OAuth access token.
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\active-directory\managed-identities-azure-resources\qs-configure-sdk-windows-vm.md,http://docs.microsoft.com/azure/active-directory/managed-identities-azure-resources/qs-configure-sdk-windows-vm,2,2,priyamo,priyamohanram,daveba,09/28/2017,active-directory,conceptual,"Configure a VM with managed identities for Azure resources using an Azure SDK
",Use an Azure SDK to configure a VM with managed identities for Azure resources,"Step by step instructions for configuring and using managed identities for Azure resources on an Azure VM, using an Azure SDK."
MicrosoftDocs/azure-docs-pr,d:\g\azure-docs-pr\articles\aks\kubernetes-helm.md,http://docs.microsoft.com/azure/aks/kubernetes-helm,2,2,iainfou,iainfoulds,,10/01/2018,container-service,article,"Install applications with Helm in Azure Kubernetes Service (AKS)
",Deploy containers with Helm in Kubernetes on Azure,Use the Helm packaging tool to deploy containers in an Azure Kubernetes Service (AKS) cluster
